Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD1,Surat,XYZ University,1st,Robotics,Google Form
LD2,Mumbai,JKL Institute,3rd,Robotics,Whatsapp
LD3,Bangalore,ABC Institute,1st,Electric Vehicle,College Collaboration
LD4,Surat,XYZ University,1st,AI,College Collaboration
LD5,Mumbai,DEF Academy,4th,Robotics,Whatsapp
LD6,Chennai,XYZ University,4th,Cloud Computing,Instagram
LD7,Delhi,ABC Institute,4th,Robotics,LinkedIn
LD8,Delhi,JKL Institute,2nd,AI,Whatsapp
LD9,Delhi,JKL Institute,1st,Electric Vehicle,Whatsapp
LD10,Kolkata,PQR College,1st,AI,Instagram
LD11,Ahmedabad,XYZ University,4th,Electric Vehicle,College Collaboration
LD12,Mumbai,DEF Academy,4th,Cybersecurity,Mass-Mailing
LD13,Surat,PQR College,1st,Electric Vehicle,Whatsapp
LD14,Mumbai,JKL Institute,1st,Robotics,Instagram
LD15,Ahmedabad,ABC Institute,2nd,Data Science,College Collaboration
LD16,Mumbai,PQR College,3rd,Cloud Computing,Instagram
LD17,Mumbai,PQR College,3rd,AI,Instagram
LD18,Bangalore,PQR College,1st,AI,LinkedIn
LD19,Kolkata,PQR College,1st,Cybersecurity,Instagram
LD20,Pune,XYZ University,3rd,Cloud Computing,College Collaboration
LD21,Pune,GHI University,2nd,Robotics,LinkedIn
LD22,Ahmedabad,JKL Institute,3rd,AI,Mass-Mailing
LD23,Kolkata,JKL Institute,1st,Cybersecurity,Mass-Mailing
LD24,Chennai,XYZ University,1st,Cybersecurity,College Collaboration
LD25,Kolkata,DEF Academy,3rd,Robotics,Instagram
LD26,Chennai,XYZ University,1st,Robotics,Instagram
LD27,Surat,PQR College,4th,Data Science,Instagram
LD28,Chennai,PQR College,1st,Robotics,Instagram
LD29,Delhi,XYZ University,2nd,Electric Vehicle,Instagram
LD30,Kolkata,DEF Academy,3rd,Data Science,Mass-Mailing
LD31,Kolkata,DEF Academy,2nd,Cybersecurity,Mass-Mailing
LD32,Kolkata,DEF Academy,3rd,Cloud Computing,College Collaboration
LD33,Kolkata,JKL Institute,2nd,AI,College Collaboration
LD34,Chennai,JKL Institute,1st,Data Science,Instagram
LD35,Kolkata,DEF Academy,2nd,Electric Vehicle,Instagram
LD36,Ahmedabad,GHI University,4th,Data Science,Mass-Mailing
LD37,Ahmedabad,XYZ University,4th,Data Science,Google Form
LD38,Pune,XYZ University,3rd,Electric Vehicle,LinkedIn
LD39,Kolkata,GHI University,3rd,Cybersecurity,Google Form
LD40,Delhi,ABC Institute,1st,Cybersecurity,LinkedIn
LD41,Pune,PQR College,1st,Data Science,Mass-Mailing
LD42,Delhi,XYZ University,1st,Cybersecurity,Whatsapp
LD43,Chennai,PQR College,2nd,AI,LinkedIn
LD44,Chennai,PQR College,3rd,Data Science,Instagram
LD45,Surat,DEF Academy,4th,Electric Vehicle,Google Form
LD46,Mumbai,JKL Institute,2nd,Electric Vehicle,Whatsapp
LD47,Bangalore,GHI University,4th,Cloud Computing,Mass-Mailing
LD48,Surat,JKL Institute,3rd,Cloud Computing,College Collaboration
LD49,Bangalore,DEF Academy,4th,Cloud Computing,LinkedIn
LD50,Surat,JKL Institute,2nd,Data Science,Mass-Mailing
LD51,Chennai,XYZ University,1st,Electric Vehicle,Instagram
LD52,Delhi,JKL Institute,4th,Cybersecurity,College Collaboration
LD53,Bangalore,DEF Academy,2nd,AI,LinkedIn
LD54,Bangalore,GHI University,1st,Cloud Computing,Mass-Mailing
LD55,Surat,GHI University,2nd,Cybersecurity,Instagram
LD56,Mumbai,GHI University,4th,Electric Vehicle,Instagram
LD57,Mumbai,DEF Academy,1st,Electric Vehicle,College Collaboration
LD58,Mumbai,DEF Academy,4th,Electric Vehicle,College Collaboration
LD59,Kolkata,GHI University,1st,Robotics,LinkedIn
LD60,Ahmedabad,ABC Institute,3rd,AI,LinkedIn
LD61,Pune,JKL Institute,4th,Cloud Computing,College Collaboration
LD62,Kolkata,ABC Institute,4th,Cybersecurity,Whatsapp
LD63,Chennai,PQR College,3rd,Robotics,Google Form
LD64,Bangalore,ABC Institute,2nd,Cybersecurity,Google Form
LD65,Chennai,XYZ University,3rd,Robotics,Mass-Mailing
LD66,Bangalore,DEF Academy,4th,Electric Vehicle,College Collaboration
LD67,Kolkata,GHI University,4th,Electric Vehicle,LinkedIn
